name,category,sub-category,qualification
Kenneth Lakritz,Medical,Others,
"David J. Colliflower, PA-C",Medical,Physician Assistants,
"Justin J. Lee, MD",Medical,PCP,MD
"Melissa Sloan, NP",Medical,Nurse Practitioners,NP
"Nurse Laine M, RN",Medical,Registered Nurses,RN
"Nurse Karen P, RN",Medical,Registered Nurses,RN
"Nurse Kendra F, RN",Medical,Registered Nurses,RN
"Subhash Mishra, MD",Medical,PCP,MD
"William J. Demartini, MD",Medical,PCP,MD
"John R Schafer, MD",Medical,PCP,MD
"Jae J, RRT",Medical,Others,
"Peter M. Smith, MD",Medical,PCP,MD
"Nurse Kimberly N, RN",Medical,Registered Nurses,RN
"Jennifer F, PT",Medical,Physical/Occupational Therapists,PT
"Eric Smith, MD",Medical,PCP,MD
"Alexis R. Alexandridis, MD",Medical,PCP,MD
"Jason T. Huffman, MD",Medical,PCP,MD
"Robert A. Zimmerman, MD",Medical,PCP,MD
"Gregory T. Ackroyd, MD",Medical,PCP,MD
"Adam W. Nevitt, MD",Medical,PCP,MD
"Christine P, PT",Medical,Physical/Occupational Therapists,PT
"Christopher A. Walter, DO",Medical,PCP,DO
"Charles R. Pettit, MD",Medical,PCP,MD
"Elianna L. Goldstein, MD",Medical,PCP,MD
"Daisy Manuel-Arguelles, DO",Medical,PCP,DO
"Christopher James Yoo, MD",Medical,PCP,MD
"Nurse Savanna L, RN",Medical,Registered Nurses,RN
"Philip  Kurzman, MD",Medical,PCP,MD
"Hayley Do, PA",Medical,Physician Assistants,PA
"Josef R. Beauvais, MD",Medical,PCP,MD
Provider,Medical,Others,
"Michael Abe Brown, MD",Medical,PCP,MD
"Alexandra E, PTA",Medical,Physical/Occupational Therapists,
"Nurse Josephine M, RN",Medical,Registered Nurses,RN
"Lisa B, PT",Medical,Physical/Occupational Therapists,PT
Jennifer B,Medical,Others,
"Rebecca Anne Spear, ARNP",Medical,Nurse Practitioners,
